,RegionID,SizeRank,Region Name,Region Type,State Name,Date Recorded,Median Sale Price,city,state_name,lat,lng
98377,394726,224,"Johnson City, TN",msa,Tennessee,2023-01-31,219133.0,Johnson City,Tennessee,36.3406,-82.3806
98378,395247,225,"Yuma, AZ",msa,Arizona,2023-01-31,255000.0,Yuma,Arizona,32.5995,-114.5491
98379,394623,226,"Gainesville, GA",msa,Georgia,2023-01-31,329967.0,Gainesville,Georgia,34.2902,-83.8294
98380,394716,227,"Jacksonville, NC",msa,North Carolina,2023-01-31,230667.0,Jacksonville,North Carolina,34.7289,-77.3941
98381,394597,228,"Florence, SC",msa,South Carolina,2023-01-31,156000.0,Florence,South Carolina,34.178,-79.7898
98382,394680,229,"Hilo, HI",msa,Hawaii,2023-01-31,523218.0,Hilo,Hawaii,19.6883,-155.0863
98383,395118,230,"St. Cloud, MN",msa,Minnesota,2023-01-31,242567.0,St. Cloud,Minnesota,45.534,-94.1718
98384,395011,231,"Racine, WI",msa,Wisconsin,2023-01-31,198500.0,Racine,Wisconsin,42.7274,-87.8135
98385,394380,232,"Bend, OR",msa,Oregon,2023-01-31,558500.0,Bend,Oregon,44.0563,-121.3095
98386,395047,233,"Saginaw, MI",msa,Michigan,2023-01-31,135233.0,Saginaw,Michigan,43.4199,-83.9501
98387,395202,234,"Warner Robins, GA",msa,Georgia,2023-01-31,194167.0,Warner Robins,Georgia,32.5961,-83.6527
98388,395151,235,"Terre Haute, IN",msa,Indiana,2023-01-31,139300.0,Terre Haute,Indiana,39.466,-87.3751
98389,395162,236,"Torrington, CT",msa,Connecticut,2023-01-31,286400.0,Torrington,Connecticut,41.8349,-73.1282
98390,395009,237,"Punta Gorda, FL",msa,Florida,2023-01-31,299667.0,Punta Gorda,Florida,26.8941,-82.0513
98391,394386,239,"Billings, MT",msa,Montana,2023-01-31,351861.0,Billings,Montana,45.7891,-108.5526
98392,395018,240,"Redding, CA",msa,California,2023-01-31,328333.0,Redding,California,40.5698,-122.365
98393,394748,241,"Kingston, NY",msa,New York,2023-01-31,354833.0,Kingston,New York,41.9295,-73.9968
98394,394960,242,"Panama City, FL",msa,Florida,2023-01-31,331667.0,Panama City,Florida,30.1995,-85.6003
98395,394729,243,"Joplin, MO",msa,Missouri,2023-01-31,163008.0,Joplin,Missouri,37.0757,-94.5018
98396,394539,244,"Dover, DE",msa,Delaware,2023-01-31,276967.0,Dover,Delaware,39.161,-75.5202
98397,394559,245,"El Centro, CA",msa,California,2023-01-31,312833.0,El Centro,California,32.7865,-115.5595
98398,394712,246,"Jackson, TN",msa,Tennessee,2023-01-31,179300.0,Jackson,Tennessee,35.6538,-88.8354
